Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1
SELKIRK FIRE DEPARTMENT,01029,126 MAPLE AVENUE,SELKIRK,NY,12158,01,Albany,5184360534,42.53155,-73.795146,"(42.53155, -73.795146)"
SHAKER RD-LOUDONVILLE FIRE DEPT,01030,550 ALBANY-SHAKER ROAD,LOUDONVILLE,NY,12211,01,Albany,5184581499,42.715127,-73.784522,"(42.715127, -73.784522)"
SLINGERLANDS FIRE DEPARTMENT,01031,PO BOX 99,SLINGERLANDS,NY,12159,01,Albany,5184394734,42.62985,-73.862168,"(42.62985, -73.862168)"
STANFORD HEIGHTS FIRE DEPARTMENT,01032,2240 CENTRAL AVENUE,SCHENECTADY,NY,12304,01,Albany,5183467948,42.764326,-73.8861,"(42.764326, -73.8861)"
TRI-VILLAGE FIRE DEPARTMENT,01033,3096 CO RTE 145 PO BOX 575,PRESTON HOLLOW,NY,12469,01,Albany,5182396780,42.446314,-74.209669,"(42.446314, -74.209669)"
VERDOY FIRE DEPARTMENT,01034,988 TROY SCHENECTADY ROAD,LATHAM,NY,12110,01,Albany,5187857291,42.763506,-73.800801,"(42.763506, -73.800801)"
VOORHEESVILLE FIRE DEPARTMENT,01035,12 ALTAMONT RD PO BOX 525,VOORHEESVILLE,NY,12186,01,Albany,5187654048,42.650819,-73.937756,"(42.650819, -73.937756)"
WATERVLIET FIRE DEPARTMENT,01036,FIRE HEADQRTRS 116 13TH ST,WATERVLIET,NY,12189,01,Albany,5182703826,42.723228,-73.702914,"(42.723228, -73.702914)"
WEST ALBANY FIRE DEPARTMENT,01038,113 SAND CREEK ROAD,ALBANY,NY,12205,01,Albany,5184216624,42.692166,-73.785673,"(42.692166, -73.785673)"
WESTERLO FIRE DEPARTMENT,01039,591 ST RTE 143 PO BOX 87,WESTERLO,NY,12193,01,Albany,5187973321,42.51526,-74.046139,"(42.51526, -74.046139)"
WESTMERE FIRE DEPARTMENT,01040,1732 WESTERN AVENUE,ALBANY,NY,12203,01,Albany,5184566734,42.688816,-73.861582,"(42.688816, -73.861582)"
A E  CRANDALL HOOK AND LADDER CO,02001,8 S MAIN ST BOX 582,ALFRED,NY,14802,02,Allegany,6075878880,42.254065,-77.790323,"(42.254065, -77.790323)"
ALFRED STATION FIRE DEPARTMENT,02002,623 STATE RTE 244 BOX 282,ALFRED STATION,NY,14803,02,Allegany,6075879201,42.268636,-77.75986,"(42.268636, -77.75986)"
ALLENTOWN FIRE DEPARTMENT,02003,1966 CHURCH ST PO BOX 82,ALLENTOWN,NY,14707,02,Allegany,5855934020,42.12375,-77.94883,"(42.12375, -77.94883)"
ALMA FIRE DEPARTMENT,02004,5778 CNTY ROUTE 18 BOX 49,ALMA,NY,14708,02,Allegany,5855930044,42.012599,-78.060224,"(42.012599, -78.060224)"
ALMOND FIRE DEPARTMENT,02005,1 MARVIN LANE BOX 256,ALMOND,NY,14804,02,Allegany,6072765921,42.316386,-77.740698,"(42.316386, -77.740698)"
ANDOVER FIRE DEPARTMENT,02006,60 S MAIN ST PO BOX 714,ANDOVER,NY,14806,02,Allegany,6074788361,42.154809,-77.795274,"(42.154809, -77.795274)"
ANGELICA FIRE DEPARTMENT,02007,85 MAIN ST PO BOX 154,ANGELICA,NY,14709,02,Allegany,5854667621,42.307251,-78.020337,"(42.307251, -78.020337)"
BELFAST FIRE DEPARTMENT,02008,11 MERTON AVENUE PO BOX 487,BELFAST,NY,14711,02,Allegany,5853652606,42.344075,-78.110895,"(42.344075, -78.110895)"
BELMONT FIRE DEPARTMENT,02009,80 SCHUYLER STREET,BELMONT,NY,14813,02,Allegany,5852685550,42.22457,-78.030511,"(42.22457, -78.030511)"
BOLIVAR FIRE DEPARTMENT,02010,460 MAIN ST  PO BOX 483,BOLIVAR,NY,14715,02,Allegany,5859281250,42.064374,-78.168037,"(42.064374, -78.168037)"
CANASERAGA FIRE DEPARTMENT,02011,10 MAIN ST BOX 322,CANASERAGA,NY,14822,02,Allegany,6075456221,42.43964,-77.85099,"(42.43964, -77.85099)"
CENTERVILLE MEMORIAL FIRE DEPT,02013,8936 CNTY ROAD 3 BOX 16,CENTERVILLE,NY,14029,02,Allegany,5855678132,42.4802,-78.24897,"(42.4802, -78.24897)"
CLARKSVILLE FIRE DEPARTMENT,02014,8854 CNTY ROAD 40 BOX 132,WEST CLARKSVILLE,NY,14786,02,Allegany,5859683138,42.2186,-78.28209,"(42.2186, -78.28209)"
CUBA FIRE DEPARTMENT,02015,51 E MAIN ST PO BOX 84,CUBA,NY,14727,02,Allegany,5859682530,42.21782,-78.2883,"(42.21782, -78.2883)"
BROOKS FIRE DEPARTMENT,02016,20 S GENESEE ST BOX 53,FILLMORE,NY,14735,02,Allegany,5855678614,42.465164,-78.112337,"(42.465164, -78.112337)"
FRIENDSHIP FIRE DEPARTMENT,02017,3 DEPOT STREET PO BOX 503,FRIENDSHIP,NY,14739,02,Allegany,5859732371,42.208223,-78.133936,"(42.208223, -78.133936)"
HOUGHTON FIRE DEPARTMENT,02018,9750 STATE RT 19 PO BOX 96,HOUGHTON,NY,14744,02,Allegany,5855678229,42.424165,-78.155972,"(42.424165, -78.155972)"
NEW HUDSON FIRE DEPARTMENT,02019,8597 STATE RTE 305 PO BOX 1,BLACK CREEK,NY,14714,02,Allegany,5859681566,42.275383,-78.226176,"(42.275383, -78.226176)"
ORAMEL FIRE DEPARTMENT,02020,8415 STATE ROUTE 19,BELFAST,NY,14711,02,Allegany,5853652511,42.31418,-78.13784,"(42.31418, -78.13784)"
RICHBURG FIRE DEPARTMENT,02021,277 MAIN ST PO BOX 74,RICHBURG,NY,14774,02,Allegany,5859281800,42.08828,-78.15372,"(42.08828, -78.15372)"
RUSHFORD FIRE DEPARTMENT,02022,BOX 223,RUSHFORD,NY,14777,02,Allegany,5854372522,42.389617,-78.246587,"(42.389617, -78.246587)"
SCIO FIRE DEPARTMENT,02023,4359 CNTY RD 10 PO BOX 231,SCIO,NY,14880,02,Allegany,5855932046,42.191917,-77.899663,"(42.191917, -77.899663)"
SHORT TRACT FIRE DEPARTMENT,02024,10355 CO RD 15 PO BOX 105,FILLMORE,NY,14735,02,Allegany,5855678075,42.43816,-78.07038,"(42.43816, -78.07038)"
WELLSVILLE FIRE DEPARTMENT,02025,40 S MAIN ST PO BOX 1156,WELLSVILLE,NY,14895,02,Allegany,5855934980,42.11894,-77.943226,"(42.11894, -77.943226)"
WHITESVILLE FIRE DEPARTMENT,02026,496 MAIN ST PO BOX 256,WHITESVILLE,NY,14897,02,Allegany,6073563223,42.037822,-77.767082,"(42.037822, -77.767082)"
WILLING FIRE DEPARTMENT,02027,1395 ST ROUTE 19 SOUTH,WELLSVILLE,NY,14895,02,Allegany,5855932385,42.055868,-77.915924,"(42.055868, -77.915924)"
WISCOY-ROSSBURG FIRE DEPARTMENT,02028,11490 CO RD 27 PO BOX 171,FILLMORE,NY,14735,02,Allegany,5855678989,42.499877,-78.07623,"(42.499877, -78.07623)"
BIRDSALL FIRE DEPARTMENT,02029,9040 CO RD 15B PO BOX 162,CANASERAGA,NY,14822,02,Allegany,5854663000,42.390335,-77.91577,"(42.390335, -77.91577)"
BINGHAMTON FIRE DEPARTMENT,04001,38 HAWLEY ST GOV PLZ 4TH FL,BINGHAMTON,NY,13901,04,Broome,6077727016,,,
CHENANGO FIRE DEPARTMENT,04003,86 CASTLE CREEK ROAD,BINGHAMTON,NY,13901-1044,04,Broome,,42.162783,-75.894162,"(42.162783, -75.894162)"
CHENANGO BRIDGE FIRE DEPARTMENT,04005,PO BOX 12,CHENANGO,NY,13745,04,Broome,6076485742,42.16892,-75.87468,"(42.16892, -75.87468)"
CHENANGO FORKS FIRE DEPARTMENT,04006,PO BOX 139,CHENANGO FORKS,NY,13746,04,Broome,6076484136,42.27234,-75.85153,"(42.27234, -75.85153)"
CHOCONUT CENTER FIRE DEPARTMENT,04007,1011 MIDDLE STELLA IRELD RD,BINGHAMTON,NY,13905,04,Broome,6077970914,42.15921,-75.92738,"(42.15921, -75.92738)"
CONKLIN FIRE DEPARTMENT,04008,1032 CONKLIN RD,CONKLIN,NY,13748,04,Broome,6077750370,42.078376,-75.823243,"(42.078376, -75.823243)"
DEPOSIT FIRE DEPARTMENT,04009,130 SECOND STREET,DEPOSIT,NY,13754,04,Broome,6074672894,42.06305,-75.42649,"(42.06305, -75.42649)"
EAST MAINE FIRE DEPARTMENT,04010,847 EAST MAIN ROAD,JOHNSON CITY,NY,13790,04,Broome,6077970685,,,
ENDICOTT FIRE DEPARMENT,04011,1009 EAST MAIN STREET,ENDICOTT,NY,13760,04,Broome,6077572463,42.098898,-76.049109,"(42.098898, -76.049109)"
ENDWELL FIRE DEPARTMENT,04012,3508 COUNTRY CLUB ROAD,ENDWELL,NY,13760,04,Broome,6077850985,42.116163,-76.018581,"(42.116163, -76.018581)"
FIVE MILE POINT FIRE DEPARTMENT,04013,16 CRESCENT DRIVE,KIRKWOOD,NY,13795,04,Broome,6077753322,42.091499,-75.822996,"(42.091499, -75.822996)"
GLEN AUBREY FIRE DEPARTMENT,04014,PO BOX 328,GLEN AUBREY,NY,13777,04,Broome,6076928230,42.2457,-75.98993,"(42.2457, -75.98993)"
HARPURSVILLE FIRE DEPARTMENT,04015,2 MAIN STREET PO BOX 98,HARPURSVILLE,NY,13787,04,Broome,6076931454,42.178566,-75.624686,"(42.178566, -75.624686)"
HILLCREST FIRE DEPARTMENT,04016,1115 AVENUE B,BINGHAMTON,NY,13901,04,Broome,6077782110,42.14919,-75.883879,"(42.14919, -75.883879)"
JOHNSON CITY FIRE DEPARTMENT,04018,320 HARRY L DRIVE,JOHNSON CITY,NY,13790,04,Broome,6077299512,42.122658,-75.961976,"(42.122658, -75.961976)"
KILLAWOG FIRE DEPARTMENT,04019,PO BOX 13,KILLAWOG,NY,13794,04,Broome,6078496194,42.40046,-76.02046,"(42.40046, -76.02046)"
KIRKWOOD FIRE DEPARTMENT,04020,297 MAIN STREET,KIRKWOOD,NY,13795,04,Broome,6077752411,42.03948,-75.797248,"(42.03948, -75.797248)"
LISLE FIRE DEPARTMENT,04021,ST RT 79 PO BOX 306,LISLE,NY,13797,04,Broome,6076923411,42.353093,-76.01085,"(42.353093, -76.01085)"
MAINE FIRE DEPARTMENT,04022,29 MC GREGOR AVE PO BOX 357,MAINE,NY,13802,04,Broome,6078623927,42.23717,-76.05457,"(42.23717, -76.05457)"
NANTICOKE FIRE DEPARTMENT,04023,1042 NANTICOKE ROAD,MAINE,NY,13802,04,Broome,6078623296,42.26949,-76.054809,"(42.26949, -76.054809)"
OUAQUAGA FIRE DEPARTMENT,04025,PO BOX 5,WINDSOR,NY,13865,04,Broome,6076551913,42.11097,-75.64151,"(42.11097, -75.64151)"
PORT CRANE FIRE DEPARTMENT,04026,844 STATE ROUTE 369,PORT CRANE,NY,13833-1006,04,Broome,,42.18961,-75.78658,"(42.18961, -75.78658)"
PORT DICKINSON FIRE DEPARTMENT,04027,786 CHENANGO STREET,BINGHAMTON,NY,13901,04,Broome,6077221256,42.138373,-75.89541,"(42.138373, -75.89541)"
PROSPECT TERRACE FIRE DEPARTMENT,04028,PROSPECT ST & GIRARD AVE,BINGHAMTON,NY,13905,04,Broome,6077293741,42.11418,-75.93491,"(42.11418, -75.93491)"
SANITARIA SPRINGS FIRE DEPT,04029,811 NY ROUTE 7,SANITARIA SPRINGS,NY,13833,04,Broome,6076482332,42.18961,-75.78658,"(42.18961, -75.78658)"
TOWN OF BINGHAMTON DEPARTMENT,04030,22 REXFORD STREET,BINGHAMTON,NY,13903,04,Broome,6076694146,42.069611,-75.918801,"(42.069611, -75.918801)"
TRIANGLE FIRE DEPARTMENT,04031,3621 NY ROUTE 206,WHITNEY POINT,NY,13862,04,Broome,,42.32906,-75.97022,"(42.32906, -75.97022)"
UNION CENTER FIRE COMPANY INC,04032,PO BOX 8800,ENDICOTT,NY,13762,04,Broome,6077481321,42.12071,-76.05295,"(42.12071, -76.05295)"
VESTAL FIRE DEPARTMENT,04034,605 VESTAL PARKWAY WEST,VESTAL,NY,13850,04,Broome,6077481514,42.083166,-76.065433,"(42.083166, -76.065433)"
WEST COLESVILLE FIRE DEPARTMENT,04035,1305 COLESVILLE RD,BINGHAMTON,NY,13904,04,Broome,,42.141368,-75.740889,"(42.141368, -75.740889)"
WEST CORNERS FIRE DEPARTMENT,04036,500 DAY HOLLOW ROAD,ENDICOTT,NY,13760,04,Broome,6077854185,42.111249,-76.073003,"(42.111249, -76.073003)"
WEST ENDICOTT FIRE DEPARTMENT,04037,113 NORTH PAGE AVE,ENDICOTT,NY,13760,04,Broome,,42.098958,-76.073512,"(42.098958, -76.073512)"
WEST WINDSOR FIRE DEPARTMENT,04038,8 CARLA DRIVE,WINDSOR,NY,13865,04,Broome,6077752918,42.096876,-75.764906,"(42.096876, -75.764906)"
WHITNEY POINT FIRE DEPARTMENT,04039,32 N PARSONS DR,WHITNEY POINT,NY,13862,04,Broome,6076923845,42.328955,-75.967353,"(42.328955, -75.967353)"
WINDSOR FIRE DEPARTMENT,04040,PO BOX 433,WINDSOR,NY,13865,04,Broome,6076551462,,,
ALLEGANY FIRE DEPARTMENT,05001,PO BOX 95,ALLEGANY,NY,14706-0095,05,Cattaraugus,7163730477,42.094612,-78.49954,"(42.094612, -78.49954)"
CATTARAUGUS FIRE DEPARTMENT,05002,MEMORIAL DRIVE,CATTARAUGUS,NY,14719,05,Cattaraugus,7169389491,42.319333,-78.866453,"(42.319333, -78.866453)"
CONEWANGO FIRE DEPARTMENT,05003,PO BOX 72,CONEWANGO VALLEY,NY,14726,05,Cattaraugus,,42.2619,-79.03158,"(42.2619, -79.03158)"
DAYTON FIRE DEPARTMENT,05004,12749 COTTAGE ROAD,SOUTH DAYTON,NY,14138,05,Cattaraugus,7165322627,42.40311,-78.97281,"(42.40311, -78.97281)"
DELEVAN FIRE DEPARTMENT,05005,85 S MAIN ST PO BOX 218,DELEVAN,NY,14042,00,Cattaraugus,7164920945,42.488256,-78.48041,"(42.488256, -78.48041)"
EAST OTTO FIRE DEPARTMENT,05006,7894 E FLATS RD PO BOX 171,EAST OTTO,NY,14729,05,Cattaraugus,,42.3959,-78.73065,"(42.3959, -78.73065)"
EAST RANDOLPH FIRE DEPARTMENT,05007,147 MAIN STREET ER,EAST RANDOLPH,NY,14730,05,Cattaraugus,7163586070,42.171685,-78.94941,"(42.171685, -78.94941)"
ELLICOTTVILLE FIRE DEPARTMENT,05008,PO BOX 397,ELLICOTTVILLE,NY,14731,05,Cattaraugus,7166992717,42.2971,-78.64982,"(42.2971, -78.64982)"
FARMERSVILLE FIRE DEPARTMENT,05009,ELTON ROAD,FARMERSVILLE STATION,NY,14060,05,Cattaraugus,7166765717,42.428311,-78.359776,"(42.428311, -78.359776)"
FRANKLINVILLE FIRE DEPARTMENT,05010,75 NORTH MAIN ST PO BOX 74,FRANKLINVILLE,NY,14737,05,Cattaraugus,7166762539,42.342979,-78.455747,"(42.342979, -78.455747)"
GREAT VALLEY FIRE DEPARTMENT,05011,5099 RT 219,GREAT VALLEY,NY,14741,05,Cattaraugus,,42.216861,-78.63805,"(42.216861, -78.63805)"
GOWANDA FIRE DEPARTMENT,05012,230 ALDRICH STREET,GOWANDA,NY,14070,05,Cattaraugus,7165323434,42.468796,-78.941678,"(42.468796, -78.941678)"
HINSDALE FIRE DEPARTMENT,05013,MAIN STREET,HINSDALE,NY,14743,05,Cattaraugus,7163734119,42.169456,-78.383949,"(42.169456, -78.383949)"
ISCHUA FIRE DEPARTMENT,05014,ROUTE 16,ISCHUA,NY,14746,05,Cattaraugus,7163780177,42.169456,-78.383949,"(42.169456, -78.383949)"
KILL BUCK FIRE DEPARTMENT,05015,3790 KILL BUCK RD PO BX 252,KILL BUCK,NY,14748,05,Cattaraugus,,42.15402,-78.72221,"(42.15402, -78.72221)"
KNAPP CREEK FIRE DEPARTMENT,05016,253 NYS ROUTE 16 SOUTH,KNAPP CREEK,NY,14760,05,Cattaraugus,7163724523,42.077415,-78.43251,"(42.077415, -78.43251)"
MANSFIELD FIRE DEPARTMENT,05017,RFD 1 BOX 69 MAPLES,LITTLE VALLEY,NY,14755,05,Cattaraugus,7166995401,42.333312,-78.735397,"(42.333312, -78.735397)"
LITTLE VALLEY FIRE DEPARTMENT,05018,101 3RD STREET,LITTLE VALLEY,NY,14755,05,Cattaraugus,7169389151,42.248853,-78.797557,"(42.248853, -78.797557)"
LIMESTONE FIRE DEPARTMENT,05019,631 MAIN STREET,LIMESTONE,NY,14753,05,Cattaraugus,7169258813,42.026175,-78.628962,"(42.026175, -78.628962)"
LEON FIRE DEPARTMENT,05020,PO BOX 34,LEON,NY,14751,05,Cattaraugus,,42.292941,-79.054032,"(42.292941, -79.054032)"
MACHIAS FIRE DEPARTMENT,05021,9548 MAIN STREET,MACHIAS,NY,14101,05,Cattaraugus,7163534611,42.414357,-78.492458,"(42.414357, -78.492458)"
OLEAN FIRE DEPARTMENT (CITY),05022,542 NORTH UNION STREET,OLEAN,NY,14760,05,Cattaraugus,7163765609,42.08635,-78.429876,"(42.08635, -78.429876)"
OLEAN FIRE DEPARTMENT (TOWN),05023,1276 OLD ROCK CITY RD,OLEAN,NY,14760,05,Cattaraugus,,42.05595,-78.43963,"(42.05595, -78.43963)"
OTTO FIRE DEPARTMENT,05024,8960 OTTO - EAST OTTO ROAD,CATTARAUGUS,NY,14719-9645,05,Cattaraugus,7162579776,42.355976,-78.830843,"(42.355976, -78.830843)"
PERRYSBURG FIRE DEPARTMENT,05025,11949 MAIN STREET,PERRYSBURG,NY,14129,05,Cattaraugus,7165324441,42.45649,-79.002499,"(42.45649, -79.002499)"
PORTVILLE FIRE DEPARTMENT,05026,58 BROOKLYN STREET,PORTVILLE,NY,14770,05,Cattaraugus,,42.030034,-78.341948,"(42.030034, -78.341948)"
RANDOLPH FIRE DEPARTMENT,05027,70 MAIN STREET,RANDOLPH,NY,14772,05,Cattaraugus,7163589300,42.172602,-78.947487,"(42.172602, -78.947487)"
SALAMANCA FIRE DEPARTMENT,05028,225 WILDWOOD AVENUE,SALAMANCA,NY,14779,05,Cattaraugus,7169453311,42.156798,-78.7075,"(42.156798, -78.7075)"
SOUTH DAYTON FIRE DEPARTMENT,05029,34 MAPLE STREET  PO BOX 88,SOUTH DAYTON,NY,14138,05,Cattaraugus,7169885153,42.361729,-79.04873,"(42.361729, -79.04873)"
COLDSPRING FIRE DEPARTMENT,05030,2603 RT 394,STEAMBURG,NY,14783,05,Cattaraugus,7163545425,42.108803,-78.911384,"(42.108803, -78.911384)"
VERSAILLES FIRE DEPARTMENT,05031,BUFFALO ROAD,VERSAILLES,NY,14168,05,Cattaraugus,7165324065,42.520164,-78.994416,"(42.520164, -78.994416)"
WESTONS MILLS FIRE DEPT,05032,PO BOX 601,WESTON MILLS,NY,14788,05,Cattaraugus,7163720280,42.06206,-78.3782,"(42.06206, -78.3782)"
WEST VALLEY FIRE DEPARTMENT,05033,PO BOX 289,WEST VALLEY,NY,14171,05,Cattaraugus,7169423768,42.41152,-78.65312,"(42.41152, -78.65312)"
YORKSHIRE FIRE DEPARTMENT,05034,12211 CHURCH STREET,YORKSHIRE,NY,14173,05,Cattaraugus,7164924470,42.52949,-78.47812,"(42.52949, -78.47812)"
LYNDON FIRE DEPARTMENT,05035,6943 ABBOTT ROAD,FRANKLINVILLE,NY,14737,05,Cattaraugus,7166765150,42.305095,-78.350587,"(42.305095, -78.350587)"
HUMPHREY FIRE DEPARTMENT,05036,4704 PUMPKIN HOLLOW ROAD,GREAT VALLEY,NY,14741,05,Cattaraugus,,42.202143,-78.552614,"(42.202143, -78.552614)"
AUBURN CITY FIRE DEPARTMENT,06001,23 MARKET STREET,AUBURN,NY,13021,06,Cayuga,3152534031,42.933196,-76.56558,"(42.933196, -76.56558)"
AURELIUS FIRE DEPARTMENT,06002,1241 W GENESEE STREET ROAD,AUBURN,NY,13021,06,Cayuga,3152520039,42.923817,-76.624858,"(42.923817, -76.624858)"
AURORA FIRE DEPARTMENT,06003,456 MAIN STREET,AURORA,NY,13026,06,Cayuga,3153648590,42.757976,-76.70362,"(42.757976, -76.70362)"
CATO FIRE DEPARTMENT,06004,2569 E MAIN STREET,CATO,NY,13033,06,Cayuga,3156262393,43.175153,-76.553605,"(43.175153, -76.553605)"
CAYUGA FIRE DEPARTMENT,06005,6233 COURT STREET,CAYUGA,NY,13034,06,Cayuga,,42.918625,-76.726189,"(42.918625, -76.726189)"
FAIR HAVEN FIRE DEPARTMENT,06006,14430 FAIR HAVEN RD POB 334,FAIR HAVEN,NY,13064,06,Cayuga,3159475145,43.313855,-76.699919,"(43.313855, -76.699919)"
FLEMING #1 FIRE DEPARTMENT,06007,6063 WEST LAKE ROAD,AUBURN,NY,13021,06,Cayuga,3152526902,42.895616,-76.551042,"(42.895616, -76.551042)"
FLEMING #2 FIRE DEPARTMENT,06008,5024 STATE RT 34,AUBURN,NY,13021,06,Cayuga,3152527371,42.92239,-76.56369,"(42.92239, -76.56369)"
GENOA FIRE DEPARTMENT,06009,10015 RT 90,GENOA,NY,13071,06,Cayuga,3154970009,42.66778,-76.538061,"(42.66778, -76.538061)"
IRA FIRE DEPARTMENT,06010,12591 STATE ROUTE 176,CATO,NY,13033,06,Cayuga,3156262607,43.25495,-76.56449,"(43.25495, -76.56449)"
KING FERRY FIRE DEPARTMENT,06011,1009 ROUTE 34B PO BOX 419,KING FERRY,NY,13081,06,Cayuga,3153648940,42.67139,-76.61901,"(42.67139, -76.61901)"
LOCKE FIRE DEPARTMENT,06012,900 MAIN STREET  BOX 78,LOCKE,NY,13092,06,Cayuga,3154970595,42.66347,-76.43076,"(42.66347, -76.43076)"
MERIDIAN FIRE DEPARTMENT,06013,11375 FERRIS ROAD,MERIDIAN,NY,13113,06,Cayuga,3156263167,43.169435,-76.53723,"(43.169435, -76.53723)"
MORAVIA FIRE DEPARTMENT,06014,38 KEELER AVE PO BOX 686,MORAVIA,NY,13118,06,Cayuga,3154971700,42.715114,-76.424566,"(42.715114, -76.424566)"
MONTEZUMA FIRE DEPARTMENT,06015,8115 HIGH ST BOX 381,MONTEZUMA,NY,13117,06,Cayuga,3157764316,43.010267,-76.703687,"(43.010267, -76.703687)"
NEW HOPE FIRE DEPARTMENT,06016,5947 NEW HOPE ROAD,MORAVIA,NY,13118,06,Cayuga,3154970448,42.797917,-76.349131,"(42.797917, -76.349131)"
OWASCO FIRE DEPARTMENT,06017,7174 OWASCO ROAD,AUBURN,NY,13021,06,Cayuga,3152539197,42.916603,-76.545537,"(42.916603, -76.545537)"
POPLAR RIDGE FIRE DEPARTMENT,06018,PO BOX 55,POLAR RIDGE,NY,13139,06,Cayuga,3153647344,42.73843,-76.61772,"(42.73843, -76.61772)"
