Name,Rank,Fire Department,Date of Death,Location on Memorial
John Reinhardt,Firefighter,New York City Fire Department,04/24/1854,18 Bottom
John R. Fischer,Captain,New York City Fire Department,09/11/2001,  9 Bottom
John R. Graziano ,Captain ,New York City Fire Department  ,03/13/2015,21 Top
John R. Higbie,Captain,Babylon Fire Department,02/05/1916,  3 Top
John Roller,Firefighter,Brewerton Fire Department,11/18/1987,11 Top
John R. Sheridan,Firefighter,New York City Fire Department,05/14/1945,16 Top
John Rush,Chief,New York City Fire Department,04/25/1912,  4 Bottom
John Ryan,Firefighter,New York City Fire Department,04/08/1907,  6 Bottom
John S. Carman,Firefighter,New York City Fire Department,10/30/1853,18 Bottom
John Slowey,Captain,New York City Fire Department,02/03/1863,17 Bottom
John Smith,Firefighter,Buffalo Fire Department,07/02/1858,  1 Top
John S. Roberts,Captain,New York City Fire Department,01/28/1927,  5 Top
John S. Whitnell,Hoseman,Albany Fire Department,01/31/1899,13 Bottom
John T. Andariese,Captain,New York City Fire Department,02/26/1903,13 Bottom
John T. Dunne,Captain,New York City Fire Department,03/28/1971,  7 Top
John T. Dwyer,Captain,Troy Fire Department,04/18/1956,13 Top
John T. Foran,Firefighter,Nanuet Fire Department,09/09/1975,  8 Top
"John T. Gallagher, Sr. ",Captain ,New York City Fire Department,07/26/2015,19 Top
John T. Hart,Sergeant,Mt. McGregor Correctional Facility,09/09/2002,  4 Top
John T. McKenna,Firefighter,New York City Fire Department,03/19/1979,  9 Top
John Torpy,Firefighter,Peekskill Fire Department,08/01/1918,  2 Top
John T. Rynn,Firefighter,New York City Fire Department,04/10/1948,15 Top
"John T. Vigiano, II",Firefighter,New York City Fire Department,09/11/2001,15 Top
John U. Green,Deputy Coordinator ,Richville Fire Department,09/09/1987,11 Top
John Venner,Firefighter,Syracuse Fire Department,03/15/1926,  5 Top
John V. Logan,Firefighter,New York City Fire Department,01/24/1933,19 Top
John W. Agan,Firefighter,Syracuse Fire Department,02/03/1939,17 Top
John W. Bridgeford,Hoseman,Albany Fire Department,12/19/1892,14 Bottom
John W. Eiserman,Firefighter,New York City Fire Department,12/14/1945,16 Top
John W. Irving,Firefighter,New York City Fire Department,01/07/1879,16 Bottom
John W. Leary,Firefighter,New York City Fire Department,02/09/1946,15 Top
John Woods,Firefighter,Oswego Fire Department,04/04/1916,10 Bottom
"John W. Smith, II",Lieutenant,New York City Fire Department,06/18/1933,20 Top
"John W. Smith, III",Captain,New York City Fire Department,02/11/1967,  9 Bottom
John W. T. F. Kocher,Firefighter,New York City Fire Department,01/15/1918,  2 Top
John Zahn,Firefighter,Buffalo Fire Department,07/14/1926,  5 Top
Jonathan Hanson,Captain,Jamestown Fire Department,03/12/1910,10 Bottom
Jonathan L. Ielpi,Firefighter,New York City Fire Department,09/11/2001,  4 Top
Jonathan R. Hohmann,Firefighter,New York City Fire Department,09/11/2001,  1 Top
Jonathan S. Croom,Firefighter,Buffalo Fire Department,08/24/2009,  1 Top
Jonathan Tyack,Assistant Foreman,New York City Fire Department,06/22/1884,15 Bottom
Jose A. Guadalupe,Firefighter ,New York City Fire Department,09/11/2001,  1 Top
Joseph A. Dansbach,Firefighter,Rochester Fire Department,10/07/1940,17 Top
Joseph A. Fay,Captain,New York City Fire Department,11/30/1967,  9 Bottom
Joseph A. Flannigan,Firefighter,New York City Fire Department,07/31/1921,  6 Top
Joseph Agnello,Lieutenant,New York City Fire Department,09/11/2001,  3 Top
Joseph A. Heslin,Firefighter,New York City Fire Department,01/27/1927,  5 Top
Joseph A. Joyce,Lieutenant,New York City Fire Department,01/01/1945,15 Top
Joseph Albert,Firefighter,Haverstraw Fire Department,01/08/1906,20 Top
Joseph A. Mascali,Firefighter,New York City Fire Department,09/11/2001,18 Top
Joseph A. McNamara,Firefighter,New York City Fire Department,10/17/1937,18 Top
Joseph A. Morstatt ,Firefighter ,New York City Fire Department ,03/05/2016,  5 Top
Joseph Anton,Firefighter,Auburn City Fire Department,12/26/1932,20 Top
Joseph Beattie,Firefighter,Dobbs Ferry Fire Department,12/01/1964,  7 Bottom
Joseph Calabro,Firefighter,New York City Fire Department,01/01/1982,12 Top
Joseph C. Clark,Firefighter,Saratoga Springs Fire Department,12/14/1974,  8 Top
Joseph C. Fiala,Firefighter,Sayville Fire Department,07/29/1947,15 Top
Joseph C. G. Fischer,Firefighter,Lynbrook Fire Department,05/03/1963,11 Bottom
Joseph Crawley,Assistant Chief,New York City Fire Department,01/13/1925,  5 Top
Joseph Culligan,Battalion Chief,Rochester Fire Department,11/22/1937,18 Top
Joseph Delong,Firefighter,New York City Fire Department,07/28/1954,14 Top
"Joseph D. Jarvis, Sr.",Fire Police,Oceanside Fire Department,05/19/1994,10 Top
Joseph D. McKeon ,Battalion Chief ,New York City Fire Department ,08/19/2017,11 Bottom
Joseph Dunn,Firefighter,New York City Fire Department,11/04/1936,18 Top
Joseph Eckes,Firefighter,Ossining Fire Department,05/13/1941,17 Top
Joseph E. Maloney,Firefighter,New York City Fire Department,09/11/2001,  8 Bottom
Joseph E. Muggleton,Firefighter,Binghamton Fire Department,06/14/1914,10 Bottom
Joseph E. Piazzi,Deputy Chief,Briarcliff Manor Fire Department,05/16/2007,  2 Top
Joseph Farrell,Firefighter,Bayport Fire Department,03/19/1991,11 Top
Joseph F. Dunn,Captain,Bethpage Fire Department,05/25/1978,  9 Top
Joseph Finger,Firefighter,New York City Fire Department,12/25/1906,  1 Bottom
"Joseph Fitzgerald, II",Captain,New York City Fire Department,12/18/1918,  3 Top
Joseph F. Zino,Firefighter,New York City Fire Department,09/15/1979,  9 Top
Joseph G. Hunter,Firefighter,New York City Fire Department,09/11/2001,  7 Top
Joseph Giehler,Firefighter,Miller Place Fire Department,01/01/1972,  7 Top
Joseph G. Leavey,Lieutenant,New York City Fire Department,09/11/2001,  5 Bottom
Joseph Grzelak,Battalion Chief,New York City Fire Department,09/11/2001,  5 Top
Joseph G. Schmitt,Firefighter,New York City Fire Department,01/19/1919,  6 Top
Joseph Hentz,Lieutenant,Elmira Fire Department,01/01/1968,  9 Bottom
Joseph H. Henehan,Firefighter,Binghamton Fire Department,10/31/1938,  1 Top
Joseph Hugger,Firefighter,Syracuse Fire Department,09/10/1887,15 Bottom
Joseph H. White,Firefighter,New York City Fire Department,03/28/1910,  5 Bottom
"Joseph J. Angelini, Jr.",Firefighter,New York City Fire Department,09/11/2001,  4 Top
"Joseph J. Angelini, Sr.",Firefighter,New York City Fire Department,09/11/2001,  4 Top
Joseph J. Brecht,Firefighter,New York City Fire Department,07/31/1948,15 Top
Joseph J. Kirker,Protective,Albany Fire Department,04/30/1959,13 Top
"Joseph J. McNally, Sr.",Captain,Albany Fire Department,04/23/1986,12 Top
Joseph J. Neidert,Lieutenant,Rochester Fire Department,07/08/1915,  3 Top
Joseph J. Ogren,Firefighter,New York City Fire Department,09/11/2001,16 Top
"Joseph Johnson, Jr.",Firefighter,New York City Fire Department,09/01/1973,  7 Top
Joseph J. Stock,Chief,Roslyn Fire Department,04/13/1918,15 Bottom
Joseph J. Tucker,Firefighter,New York City Fire Department,12/19/1957,13 Top
Joseph Kadlec,Firefighter,North Tarrytown Fire Department,01/01/1980,  9 Top
"Joseph Kelly, II",Firefighter,New York City Fire Department,10/17/1966,11 Bottom
Joseph Kenavan,Firefighter,New York City Fire Department,01/01/1976,  8 Top
Joseph LaGrange,Firefighter,New York City Fire Department,05/20/1932,20 Top
Joseph L. D’ Ovidio,Firefighter,Rochester Fire Department,07/14/1968,  9 Bottom
Joseph L. Minore,Ex-Chief,Setauket Fire Department,08/02/1986,12 Top
Joseph L. Norman,Firefighter,Campbell Fire Department,01/01/1976,  8 Top
Joseph Maffeo,Firefighter,New York City Fire Department,09/11/2001,  5 Top
Joseph M. Beetle,Lieutenant,New York City Fire Department,02/08/1976,  8 Top
Joseph McCarty,Firefighter,New York City Fire Department,10/21/1939,17 Top
Joseph McDonough,Firefighter,New York City Fire Department,07/30/1919,  1 Top
Joseph M. Oesau,Lieutenant,New York City Fire Department,01/12/1955,14 Top
Joseph Nirschel,Battalion Chief,Buffalo Fire Department,05/09/1923,  6 Top
Joseph O’Flaherty,Firefighter,New York City Fire Department,03/04/1944,16 Top
Joseph P. Ahearn,Firefighter,New York City Fire Department,04/10/1934,19 Top
Joseph Pallesco,Firefighter,Schenectady Fire Department,09/23/1970,  3 Bottom
Joseph P. Cavalieri,Lieutenant,New York City Fire Department,12/18/1998,10 Top
"Joseph P. Colleluori, Jr. ",Lieutenant ,New York City Fire Department ,01/04/2007,17 Bottom
Joseph P. Connelly,Lieutenant,New York City Fire Department,01/19/1972,  7 Top
Joseph P. Costello ,Firefighter ,New York City Fire Department ,01/03/2006,  2 Top
Joseph P. DiBernardo ,Lieutenant ,New York City Fire Department ,11/22/2011,  6 Top
Joseph P. Dugan,Firefighter,New York City Fire Department,07/31/1954,14 Top
Joseph P. Faughnan,Lieutenant,New York City Fire Department,11/17/1987,11 Top
Joseph P. Graffagnino,Lieutenant,New York City Fire Department,08/18/2007,19 Bottom
Joseph P. Gullickson,Lieutenant,New York City Fire Department,09/11/2001,  6 Top
Joseph P. Henry,Firefighter,New York City Fire Department,09/11/2001,  4 Bottom
Joseph P. McCann,Firefighter,Troy Fire Department,05/01/1922,  6 Top
Joseph P. O’Toole ,Firefighter ,New York City Fire Department ,12/12/2016,16 Top
Joseph Priore,Lieutenant,New York City Fire Department,10/17/1966,11 Bottom
Joseph P. Spor,Firefighter,New York City Fire Department,09/11/2001,17 Top
Joseph P. Treacy,Assistant Chief,Yonkers Fire Department,05/27/1962,12 Bottom
Joseph R. Bow,Firefighter,Pearl River Fire Department,10/21/1991,11 Top
Joseph Riceoppo,Firefighter,Florida Fire Department,07/03/1950,  7 Bottom
Joseph Rittling,Firefighter,Buffalo Fire Department,04/25/1894,14 Bottom
"Joseph R. Marchbanks, Jr.",Battalion Chief,New York City Fire Department,09/11/2001,15 Top
"Joseph R. Rivelli, Jr.",Firefighter,New York City Fire Department,09/11/2001,19 Top
"Joseph R. Stach, Jr. ",Lieutenant ,New York City Fire Department ,01/07/2018,19 Bottom
"Joseph Sanford, Jr. ",Firefighter ,Inwood Fire Department ,12/23/2014,  3 Top
Joseph Scanlon,Firefighter,New York City Fire Department,05/13/1936,18 Top
Joseph Schellheimer,Firefighter,Buffalo Fire Department,10/07/1908,  6 Bottom
Joseph Skillman,Firefighter,New York City Fire Department,02/08/1861,17 Bottom
"Joseph Sparacino, Jr.",Lieutenant,New York City Fire Department,08/30/1976,  8 Top
"Joseph Sullivan, III",Firefighter,New York City Fire Department,07/19/1930,  4 Top
Joseph T. Callahan ,Firefighter ,New York City Fire Department ,10/01/2005,  2 Top
Joseph T. Fosse,Firefighter,New York City Fire Department,02/26/1937,18 Top
Joseph Tillotson,Firefighter,Newburgh Fire Department,01/31/1887,15 Bottom
Joseph T. Mannino,Firefighter,New York City Fire Department,12/24/1953,14 Top
Joseph Tracy,Captain,New York City Fire Department,05/03/1938,18 Top
Joseph Valentino,Firefighter,Valley Stream Fire Department,01/01/1963,11 Bottom
Joseph V. Machansky,Firefighter,Greenlawn Fire Department,01/01/1960,13 Top
Joseph Wernette,Firefighter,Rochester Fire Department,05/05/1867,17 Bottom
Joseph Wescott,Firefighter,Richmond Volunteer Engine Company,11/24/1930,21 Top
Joseph Wesolowski,Firefighter,Riverhead Fire Department,01/01/1971,  7 Top
Joseph Williams,Firefighter,New York City Fire Department,11/01/1877,16 Bottom
Joseph W. Pasquale,Firefighter,Rye Fire Department,06/09/1974,  8 Top
Joshua A. Wallace,Firefighter,New York City Fire Department,06/25/1884,15 Bottom
Jospeh D. Farrelly,Battalion Chief,New York City Fire Department,09/11/2001,  6 Bottom
J. Robert Hickey,Fire Police,East Greenbush Fire Department,03/22/1987,11 Top
Julius C. Greene,Ex-Chief,Westville Fire Department,11/02/1988,11 Top
Julius Feldman,Firefighter,New York City Fire Department,09/08/1953,14 Top
Julius Spanier,Firefighter,New York City Fire Department,03/30/1923,  6 Top
June M. Fitzpatrick,Firefighter,Rocky Point Fire Department,06/15/1995,10 Top
Karl A. Schmidt,Assistant Chief,Cowlesville Fire Department,10/15/1996,10 Top
Karl H. Joseph,Firefighter,New York City Fire Department,09/11/2001,21 Top
Karl Richter,Firefighter,Wantaugh Fire Department,06/14/1990,11 Top
Keith A. Glascoe,Firefighter,New York City Fire Department,09/11/2001,18 Top
Keith E. Atlas ,Firefighter ,New York City Fire Department ,04/04/2014,18 Top
Keith M. Loughlin ,Lieutenant ,New York City Fire Department ,07/31/2014,  8 Bottom
Keith Purcell,Firefighter,Southold Fire Department,12/17/2000,  7 Bottom
Keith Roma,Fire Patrol,"World Trade Center, Mem. of NYBFU/stationed with FDNY",09/11/2001,19 Top
Keithroy M. Maynard,Firefighter,New York City Fire Department,09/11/2001,16 Top
Keith W. Farr,Firefighter,Avon Fire Department,01/23/1983,12 Top
Kenneth B. Kumpel,Fire Marshal,New York City Fire Department,09/11/2001,17 Top
Kenneth Dack,Firefighter,Solvay Fire Department,09/03/1973,  7 Top
Kenneth D. Morrison,Firefighter,Cornwall Fire Department,04/14/1957,  4 Bottom
Kenneth F. Clinch,Firefighter,Mount Marion Fire Department,07/30/1999,21 Top
Kenneth F. Schunk    ,Firefighter    ,Cassadaga Fire Department     ,01/24/1965,21 Top
Kenneth J. Marino,Firefighter,New York City Fire Department,09/11/2001,19 Top
Kenneth J. Phelan,Lieutenant,New York City Fire Department,09/11/2001,17 Top
Kenneth Kerr,Firefighter,New York City Fire Department,11/15/2000,  5 Bottom
Kenneth Matero,Past Chief,West Nyack Fire Company,07/03/1974,  8 Top
Kenneth Smith,Ex-Chief,Merrick Fire Department,06/26/1982,12 Top
Kenneth T. Watson,Firefighter,New York City Fire Department,09/11/2001,21 Top
Kenneth Wamsley,Firefighter,Hurley Fire Department,10/26/1963,18 Top
Kevin A. Rooney ,Firefighter ,New York City Fire Department ,01/22/2017,14 Top
Kevin C. Dowdell,Lieutenant,New York City Fire Department,09/11/2001,17 Bottom
Kevin C. Seaburg,Assistant Chief,Selkirk Fire Department,02/05/1997,10 Top
"Kevin E. Townes, Sr. ",Firefighter ,Mount Vernon Fire Department,12/08/2011,18 Top
Kevin H. Bracken,Firefighter,New York City Fire Department,09/11/2001,20 Top
Kevin J. Bristol ,Firefighter ,Peekskill Fire Department ,03/03/2014,11 Bottom
Kevin J. Cassidy ,Captain ,New York City Fire Department ,08/30/2009,  1 Bottom
Kevin J. Cioffi,Firefighter,Wyandanch Fire Department,07/15/1985,12 Top
Kevin J. Pfeifer,Lieutenant,New York City Fire Department,09/11/2001,18 Bottom
Kevin J. Smith,Firefighter,New York City Fire Department,09/11/2001,20 Top
Kevin J. Sutch,Commissioner,Levitown Fire Department,06/12/1995,10 Top
Kevin Kane,Firefighter,New York City Fire Department,09/12/1991,11 Top
Kevin Landau,Firefighter,New City Fire Engine Company No. 1,01/01/1975,  8 Top
Kevin McKinney,Firefighter,Levittown Fire Department,01/01/1979,  9 Top
"Kevin M. Delano, Sr. ",Firefighter ,New York City Fire Department  ,07/30/2008,20 Top
Kevin M. O’Rourke,Firefighter,New York City Fire Department,09/11/2001,18 Top
Kevin M. Prior,Firefighter,New York City Fire Department,09/11/2001,18 Top
Kevin M. Shea,Chief,Elsmere Fire Department,01/24/2004,  3 Bottom
Kevin O. Reilly,Firefighter,New York City Fire Department,09/11/2001,16 Bottom
Kevin R. Byrnes ,Battalion Chief ,New York City Fire Department ,02/04/2004,21 Bottom
Kevin W. Donnelly,Lieutenant,New York City Fire Department,09/11/2001,19 Top
LaFord H. Stanley,Firefighter,Campville Fire Department,01/01/1973,  7 Top
Lawrence D. Thrower,Lieutenant,Sidney Fire Department,10/24/1998,10 Top
Lawrence E. Miller,Firefighter,Cherry Creek Fire Department,05/20/1983,12 Top
Lawrence E. O’Hara,Captain,Binghamton Fire Department,01/13/1967,  7 Top
Lawrence Filiatrault,Firefighter,Fort Drum  Fire Department,01/01/1979,  9 Top
Lawrence Fitzpatrick,Firefighter,New York City Fire Department,06/27/1980,  9 Top
Lawrence Franklin,Firefighter,New York City Fire Department,02/19/1969,  9 Bottom
Lawrence G. Sesso ,Firefighter ,Sayville Fire Department ,08/22/2015,16 Bottom
Lawrence G. Veling,Firefighter,New York City Fire Department,09/11/2001,18 Bottom
Lawrence J. Sullivan ,Firefighter ,New York City Fire Department  ,08/20/2012,  1 Top
Lawrence J. Virgilio,Firefighter,New York City Fire Department,09/11/2001,19 Top
Lawrence J. Yonkin,Chief,Forest View-Gang Mills Fire District,11/15/2003,  5 Top
Lawrence Perchuck,Firefighter,New York City Fire Department,11/27/1967,  9 Bottom
"Lawrence R. Smith, Sr.",Firefighter,Ghent Volunteer Fire Company # 1,03/14/1989,11 Top
Lawrence T. Stack,Battalion Chief,New York City Fire Department,09/11/2001,15 Top
Lawrence W. Koen,Firefighter,Rochester Fire Department,09/18/1961,12 Bottom
Lee Jordan,Firefighter,Friendship Fire Department,01/01/1980,  9 Top
Lee S. Fehling,Firefighter,New York City Fire Department,09/11/2001,19 Top
Leland Campbell,Firefighter/Past Chief,Huntersland Fire Department,11/11/1962,  7 Bottom
Leland G. Foster,Firefighter,Cortland Fire Department,01/01/1974,  8 Top
Leland R. Smith,Hoseman,Albany Fire Department,03/21/1944,16 Top
Leo A. Podeswa,Firefighter,Yonkers Fire Department,02/10/1947,15 Top
Leo Doyle,Firefighter,Natural Bridge Fire Department,06/20/1987,11 Top
Leo Grenier,Firefighter,West Leyden Fire Department,01/01/1976, 8 Top
Leo Hackbarth,Firefighter,New York City Fire Department,01/13/1911,  5 Bottom
Leo J. J. Ray,Firefighter,New York City Fire Department,02/15/1962,12 Bottom
Leonard Bloodgood,Firefighter,Otisco Fire Department,04/18/1983,12 Top
Leonard J. Giustino,Firefighter,Pelham Fire Department,01/07/1950,15 Top
Leonard J. Ragaglia,Firefighter,New York City Fire Department,09/11/2001,16 Bottom
Leonard N. Zeller,Past Chief,Edwards Fire Department,12/15/1997,10 Top
Leonard Wood,Lieutenant,Buffalo Fire Department,09/30/1967,  9 Bottom
Leon F. Pettit,Chief,Babylon Fire Department,02/05/1916,  3 Top
Leon J. Hammond,Firefighter,Fulton Fire Department,11/30/1915,  5 Bottom
Leon L. Lockwood,Firefighter,Centerport Fire Department,05/31/1930,  4 Top
"Leon Smith, Jr.",Firefighter,New York City Fire Department,09/11/2001,17 Top
Leon Stark,Firefighter,Granville Fire Department,02/01/1953,  7 Bottom
"Leon Thomas, Jr.",Firefighter,Adams Center Fire Department,07/17/1987,11 Top
Leon Walton,Firefighter,York Fire Department,08/08/1985,12 Top
Leo P. Lydon,Ex-Captain,Suffern Fire Department,09/16/1969,  9 Bottom
LeRoy A. Kemp    ,Firefighter    ,Tioga Center Fire Company No. 1             ,01/13/2010,10 Top
Leroy Schmuck,Chief,Old Forge Volunteer Fire Department,06/28/1965,19 Bottom
Leslie G. Ackerly,Firefighter,Patchogue Fire Department,05/17/1948,15 Top
Lester A. Roselle,Lieutenant,New York City Fire Department,01/01/1977,  8 Top
Lewis D. McManus,Firefighter,New Woodstock Fire Department,05/05/1973,   5 Bottom
Lewis M. Grimes,Firefighter,Albion Fire Department,05/13/1949,16 Top
Lewis Near,Firefighter,Roosevelt Fire Department,01/01/1978,  8 Bottom
Lewis Pfeil,Chief,Guilford Fire Department,06/23/1961,  7 Bottom
Lincoln Quappe,Firefighter,New York City Fire Department,09/11/2001,19 Top
Lloyd Coughlin,Firefighter,Huntington Manor Fire Department,01/17/1972,  7 Top
Lloyd E. Curtis,Firefighter,Vestal Fire Department,02/19/2001,19 Top
Lloyd Flavin,Firefighter,Cohoes Fire Department,06/14/1976,  8 Top
Lloyd Jablin,Firefighter,South Spring Valley Fire Department,06/05/1998,10 Top
Loren J. Michael,Captain,Batavia Fire Department,08/05/1966,  7 Top
Loren Walter ,Fire Police,Thurman Fire Department,06/23/1956,13 Top
Lorenzo Camerano,Firefighter,Rockville Center Fire Department,02/10/1924,10 Bottom
Lorenzo Warlick,Firefighter,New York City Fire Department,01/05/1967,  9 Bottom
Lou Chadderdon,Firefighter,Auburn Fire Department,06/17/1880,16 Bottom
"Louis A. Kolts, Jr.",Firefighter,Kingston Fire Department,02/03/1919,  6 Top
Louis Arena,Firefighter,New York City Fire Department,09/11/2001,21 Top
Louis Barmore,Firefighter,Peekskill Fire Department,08/01/1918,  2 Top
Louis Ciardullo,Firefighter,Hastings On The Hudson Fire Department,06/01/1970,  8 Bottom
Louis Hardina,Firefighter,New York City Fire Department,08/01/1932,20 Top
Louis J. Brusati,"Patrolman, Fire Patrol",NYBFU/stationed with FDNY,02/14/1958,15 Bottom
"Louis J. Farrell, II",Firefighter,New York City Fire Department,09/24/1922,  6 Top
Louis J. Flurry,Firefighter,Union Volunteer Fire Company,07/26/1987,11 Top
Louis J. Modafferi,Battalion Chief,New York City Fire Department,09/11/2001,16 Bottom
Louis Lubcker,Firefighter,New York City Fire Department,06/05/1929,  4 Top
Louis P. Pelligrino,Firefighter,Terry’s Corners Fire Department,01/01/1986,12 Top
Louis Rice,Assistant Foreman,Rochester Fire Department,12/16/1894,14 Bottom
Louis Valentino,Firefighter,New York City Fire Department,02/05/1996,10 Top
Louis W. Finger,Lieutenant,New York City Fire Department,05/07/1953,14 Top
Lowell J. McElroy,Firefighter,New York City Fire Department,05/08/1949,15 Top
Ludwig A. Beckmann,Firefighter,New York City Fire Department,09/26/1959,13 Top
Luigi Bianca,Lieutenant,New York City Fire Department,03/28/1962,12 Bottom
"Manuel Delvalle, Jr. ",Lieutenant,New York City Fire Department,09/11/2001,16 Top
"Manuel Mojica, Jr.",Firefighter,New York City Fire Department,09/11/2001,20 Top
Mark A. Kelly,Firefighter,New York City Fire Department,02/26/1904,  3 Bottom
Mark B. Davis,Firefighter,Cape Vincent Fire Department,01/31/2009,2 Top
Mark Pirolli,Firefighter,Niagara Falls Fire Department ,10/31/1964,11 Bottom
Mark P. Whitford,Firefighter,New York City Fire Department,09/11/2001,17 Bottom
Mark W. McKay ,Lieutenant ,New York City Fire Department ,04/04/2012,  2 Bottom
Marshall E. Wells,Firefighter,Gansevoort Fire Department,01/01/1981,12 Top
Marshall F. Sarles,Firefighter,Mamaroneck Fire Department,07/02/1991,11 Top
Martin Ames,Firefighter,Brentwood Fire Department,05/06/1952,14 Top
Martin C. Simmons ,Firefighter ,New York City Fire Department ,07/21/2008,21 Bottom
Martin D. Kelly,Lieutenant,New York City Fire Department,05/26/1957,13 Top
Martin E. McWilliams,Firefighter,New York City Fire Department,09/11/2001,19 Top
Martin F. Dwyer,Captain,Syracuse Fire Department,08/27/1936,18 Top
Martin Haley,Firefighter,Buffalo Fire Department,01/08/1920,  6 Top
Martin Hanrahan,Firefighter,New York City Fire Department,05/16/1964,11 Bottom
Martin Hoelche,Firefighter,Buffalo Fire Department,10/08/1924,  6 Top
"Martin J. Egan, Jr.",Captain,New York City Fire Department,09/11/2001,  3 Top
Martin J. McCormick,Firefighter,New York City Fire Department,06/26/1960,13 Top
Martin J. McHale ,Fire Marshal ,New York City Fire Department ,12/24/2012,  9 Bottom
Martin J. Oakley,Firefighter,New York City Fire Department,12/21/1897,14 Bottom
Martin Mahoney,Captain,Buffalo Fire Department,11/11/1901,13 Bottom
Martin M. Coleman,Battalion Chief,New York City Fire Department,12/21/1903,13 Bottom
Martin Meyerdierks,Firefighter,Putnam Lake Fire Department,03/20/1978,  9 Top
Martin N. DeMeo,Firefighter,New York City Fire Department,09/11/2001,  1 Top
Martin R. Celic,Firefighter,New York City Fire Department,07/10/1977,  8 Top
Martin T. Fullam ,Lieutenant ,New York City Fire Department,01/28/2013,19 Top
Mary Skidmore,President,Selden Fire Department,11/24/1976,  2 Top
Mathais Henes,Firefighter,New York City Fire Department,11/22/1870,16 Bottom
Mathew A. Phillips,Firefighter,Albion Fire Department,02/04/1926,15 Bottom
Mathew Fohey,Captain,New York City Fire Department,08/24/1900,17 Bottom
Mathew F. Wieners,Firefighter,New York City Fire Department,01/28/1959,13 Top
Mathew J. Dunn ,Firefighter,New York City Fire Department,10/14/1931,  4 Top
Mathew J. Ward,Firefighter,New York City Fire Department,12/26/1915,  3 Top
Mathew Miller,Firefighter,New York City Fire Department,01/30/1908,  6 Bottom
Matthew A. Sheerin,Lieutenant,New York City Fire Department,11/19/1960,13 Top
Matthew Colpoys,Firefighter,Buffalo Fire Department,12/27/1983,12 Top
Matthew D. Garvey,Firefighter,New York City Fire Department,09/11/2001,  3 Top
Matthew E. Barnes,Firefighter,New York City Fire Department,09/11/2001,  5 Top
Matthew J. Belford,Firefighter,New York City Fire Department,05/07/1957,13 Top
Matthew J. Cummings,Battalion Chief,New York City Fire Department,10/25/1918,  3 Top
Matthew J. Porcari ,Captain ,Owego Fire Department ,01/22/2013,13 Bottom
Matthew L. Ryan,Battalion Chief,New York City Fire Department,09/11/2001,  6 Bottom
Matthew Lynch,Captain,New York City Fire Department,03/30/1932,20 Top
Matthew Merzig,Firefighter,Buffalo Fire Department,08/28/1935,19 Top
Matthew S. Rogan,Firefighter,New York City Fire Department,09/11/2001,  2 Top
Matthew W. Casey,Captain,Troy Fire Department,10/28/1938,18 Top
Max Schmidt,Firefighter,Leeds Fire Department,11/01/1935,  9 Bottom
Maynard M. Ham,Fire Police,Red Hook Fire Company,08/25/1972,  7 Top
Melvin W. Martin,Firefighter,Bangor Fire Department,09/08/1958,  7 Bottom
Merle Lewis,Fire Police,Westfield Fire Department,02/12/1987,11 Top
Merle L. Nell ,Fire Police Capt. ,Volunteer Fire Company of Vernon ,11/26/2016,13 Top
Merritt Thorpe,Firefighter,Varna Fire Department,08/01/1962,12 Top
"Michael A. Demart, Sr.",Firefighter,North Tonawanda Fire Department,12/02/1980,  9 Top
Michael A. Esposito,Captain,New York City Fire Department,09/11/2001,16 Top
Michael A. Maloney,Lieutenant,New York City Fire Department,03/19/1973,  8 Top
Michael Berenz,Firefighter,New York City Fire Department,10/22/1957,13 Top
Michael Boyle,Firefighter,New York City Fire Department,09/11/2001,  3 Top
Michael Carvet,Firefighter,New York City Fire Department,01/01/1854,18 Bottom
Michael C. Fiore,Firefighter,New York City Fire Department,09/11/2001,18 Top
Michael Conners,Firefighter,New York City Fire Department,10/31/1882,15 Bottom
Michael C. Reilly,Probationary Firefighter,New York City Fire Department,08/27/2006,19 Top
Michael D. Curtin,Firefighter,New York City Fire Department,11/15/1915,  3 Top
Michael D. D’Auria,Firefighter,New York City Fire Department,09/11/2001,  6 Top
Michael D. Falkouski,Assistant Chief,Rensselaer Fire Department,01/23/2005,   1 Top
Michael D. Mullan,Firefighter,New York City Fire Department,09/11/2001,13 Bottom
Michael D. Sowich ,Firefighter ,New Hartford Fire Department ,03/02/2007,17 Top
Michael E. Brennan,Firefighter,New York City Fire Department,09/11/2001,  2 Top
Michael E. C. Graham,Battalion Chief,New York City Fire Department,02/15/1909,  5 Bottom
Michael E. Gerrie,Lieutenant,Buffalo Fire Department,02/02/1988,11 Top
Michael E. Hanley,Firefighter,New York City Fire Department,02/06/1923,  6 Top
Michael Emmett,Firefighter,New York City Fire Department,07/26/1900,13 Bottom
Michael E. Reilly,Firefighter,Patchogue Fire Department,12/23/1980,10 Bottom
Michael E. Roberts,Firefighter,New York City Fire Department,09/11/2001,  8 Bottom
Michael E. Roberts,Firefighter,New York City Fire Department,09/11/2001,  7 Bottom
Michael F. Alder,Firefighter,Volney Fire Department,11/14/1996,  2 Bottom
Michael F. Cammarata,Firefighter,New York City Fire Department,09/11/2001,17 Top
Michael F. Harley,Battalion Chief,New York City Fire Department,09/29/1925,  5 Top
Michael F. Logan,Firefighter,New York City Fire Department,09/05/1935,19 Top
